sample_id,sat_Blue,sat_Green,sat_Red,sat_Rededge,sat_NIR,sat_SWIR1,sat_SWIR2,sat_NDVI,sat_NDRE,sat_GNDVI,class,class_numeric
1,0.08953829332748126,0.16062636092435506,0.08895081637285841,0.2188583897948693,0.30481620565007206,0.17508888745809592,0.09286713033099045,0.5482058608367744,0.16414356664021196,0.3097908422663791,Others,3
2,0.0778107804781231,0.14140276509502755,0.11911025582080449,0.19106817555290792,0.3202051349915224,0.15490178468631532,0.17392893966197043,0.4577460370757294,0.2525791133143695,0.3873468583682602,Others,3
3,0.1116457625533682,0.13540749631980095,0.11020132446960672,0.21372107157316272,0.27894467834584213,0.27542164306455547,0.15610836889977353,0.43362479032390666,0.13238916401922052,0.3464134878545453,Others,3
4,0.08457535462198834,0.1350853136469722,0.08558908069634327,0.26404469618498894,0.3250375019426722,0.2456819590728932,0.1924856022784664,0.5831293719647702,0.1035387013078019,0.4128293183033698,Others,3
5,0.0679334999273331,0.0736170509465521,0.05033893145132312,0.26482727879633433,0.4458992549755776,0.16123934479033575,0.09148516972349019,0.7971178646537377,0.2547702492803699,0.7165938773918423,Healthy,0
6,0.07520634574132698,0.14818475183213178,0.09448307770197609,0.21924064900055162,0.41524465952101663,0.20148062556046561,0.17312400325995064,0.6292802184290702,0.3089181229068635,0.47399000177769574,High_severity,2
7,0.06346851486229793,0.05596478487798957,0.14989065800092,0.28639662812404887,0.3681615063780202,0.16388654932853122,0.1877036820880125,0.4213298647999497,0.12491614410410001,0.7360937719175336,Others,3
8,0.0641597236440108,0.1038535560918303,0.056938603385313195,0.22899956127737556,0.4006115313269185,0.26873384658827026,0.14982390186817227,0.7511153464259223,0.2725682124495221,0.5882626620477184,Low_severity,1
9,0.07620969035913565,0.1122807237113064,0.07022015468296972,0.3165539334611267,0.39790924492613805,0.18401009970767052,0.14990053971326764,0.6999968182233196,0.11386914529122708,0.5598473877831326,Healthy,0
10,0.054422746293606356,0.09335671396233386,0.08731542527247103,0.2317351552079588,0.36209794629007686,0.12520583310923517,0.1466334444925802,0.6114248894335856,0.21952765979743774,0.5900504611783046,Others,3
11,0.10793398437968768,0.11952150414361302,0.1092855620716831,0.18572118423670228,0.24285888862635518,0.2462132572711757,0.2262773995315011,0.37931401812493815,0.13331862120409388,0.34035336056670773,High_severity,2
12,0.09368553299510068,0.16805817504578197,0.13145949570419646,0.2263800154467666,0.41331988894045574,0.2529189207689978,0.1608128309035426,0.5173844700825283,0.2922305790756081,0.4218626898528452,Others,3
13,0.10842246597884633,0.15529808774741036,0.103294852826298,0.2140568636198698,0.2880190679694328,0.23164331255026047,0.18331811940851916,0.4720614456227393,0.14731278616650348,0.29938155677150097,High_severity,2
14,0.05588788250797079,0.1065391289396221,0.09784188012339028,0.204319964029888,0.39833516833739135,0.18357748611258812,0.15220256630405007,0.6056170658158776,0.3219340446755934,0.5779578025095367,Others,3
15,0.03926103868840659,0.10728886318878586,0.1184871470620605,0.31476017690933644,0.37963122079043043,0.16763947138764895,0.11958140234648154,0.5242610804621106,0.09342143940144576,0.5593163366275713,Low_severity,1
16,0.08199680465443004,0.09331934846143689,0.15803326501527634,0.23538101447749982,0.29891503527059854,0.1873160672617174,0.1205547355738391,0.3083100870868413,0.11891164238076017,0.5241653851275297,High_severity,2
17,0.15153363265208752,0.1493505808258998,0.15889570980007764,0.22840744890259138,0.32937129190158243,0.29050380437994583,0.20939062836452957,0.3491441803508738,0.18101056138035507,0.37604446617412324,High_severity,2
18,0.10758155931890015,0.11629925725496051,0.09844147596098599,0.2166936895842532,0.43205228227694037,0.20948450898357274,0.12047056051897419,0.6288684855106816,0.3319613562683755,0.5758222641109421,Low_severity,1
19,0.05774561751719968,0.06220226543260472,0.07992096558080848,0.23278304584895143,0.4444933398184035,0.12249544529991109,0.14794477120468189,0.6951991402295237,0.3125906918500386,0.7544787648126895,Healthy,0
20,0.07588136857096789,0.10999627735351247,0.07532692802569711,0.2876825474445742,0.3751922431902737,0.18400557818977403,0.12930304591760014,0.6655994557461941,0.1320154227948385,0.5465833477254094,Healthy,0
21,0.09601063931454033,0.13383587477665057,0.1069811134743366,0.1797172921207486,0.31722121094114675,0.21780514488323782,0.17897171639173298,0.49561278985565227,0.2767020827993108,0.4065679089658082,Others,3
22,0.04244776226634914,0.13842401411505872,0.06317204614641567,0.2106094586913448,0.3773854796891751,0.17373875556970997,0.11683599134028881,0.7132177187231141,0.2836351303587268,0.4632746555549245,Low_severity,1
23,0.10519720014231984,0.11538376559107612,0.11850769284700631,0.2324498827846563,0.35742213561084624,0.16163426103950418,0.1150177823403685,0.501995101962805,0.2118633346367643,0.5119190970427466,Healthy,0
24,0.0828933112032794,0.1210565260655863,0.12273500270482395,0.25737813518234914,0.36927625373616024,0.1962902676298754,0.17969109169729583,0.5010886393427636,0.178564325938779,0.5062270725015268,High_severity,2
25,0.08278998801850473,0.1779822931263841,0.11185466942719478,0.20919455761116046,0.357525118085898,0.26592779285522306,0.15496252106060288,0.5233937531914932,0.2617353284801568,0.3352760787251566,Others,3
