sample_id,uav_Blue,uav_Green,uav_Red,uav_Rededge,uav_NIR,uav_NDVI,uav_NDRE,uav_GNDVI,uav_SAVI,sat_Blue,sat_Green,sat_Red,sat_Rededge,sat_NIR,sat_SWIR1,sat_SWIR2,sat_NDVI,sat_NDRE,sat_GNDVI,class,class_numeric
1,0.0532201883631035,0.0998651479935134,0.08388925022461,0.2570904181252033,0.3941215513067082,0.6490068845479265,0.2104247765916293,0.5956767737472215,0.4758111576012543,0.0895382933274812,0.160626360924355,0.0889508163728584,0.2188583897948693,0.304816205650072,0.1750888874580959,0.0928671303309904,0.5482058608367744,0.1641435666402119,0.3097908422663791,Others,3
2,0.0722737535149708,0.1377818480991461,0.1852521613163141,0.1894397009347853,0.3013685690809898,0.2386178814656578,0.2280500859176779,0.3725072653517297,0.1765365416322388,0.0778107804781231,0.1414027650950275,0.1191102558208044,0.1910681755529079,0.3202051349915224,0.1549017846863153,0.1739289396619704,0.4577460370757294,0.2525791133143695,0.3873468583682602,Others,3
3,0.0667477268563939,0.1382355333890249,0.1371041130861306,0.1979720438243672,0.3114430224990065,0.3886746689073109,0.2227475906702149,0.3851806737101994,0.275693588972777,0.1116457625533682,0.1354074963198009,0.1102013244696067,0.2137210715731627,0.2789446783458421,0.2754216430645554,0.1561083688997735,0.4336247903239066,0.1323891640192205,0.3464134878545453,Others,3
4,0.0606527805107304,0.143834339849017,0.1998809950654761,0.1718639382875514,0.2741162488934386,0.1566153701821882,0.2292754556031219,0.3117160558055876,0.1143256630679344,0.0845753546219883,0.1350853136469722,0.0855890806963432,0.2640446961849889,0.3250375019426722,0.2456819590728932,0.1924856022784664,0.5831293719647702,0.1035387013078019,0.4128293183033698,Others,3
5,0.0369541117573572,0.0951725061482436,0.090433704534358,0.3145082140072088,0.5005515222797602,0.6939561246839693,0.2282572675225962,0.6804812241689,0.5638726460252215,0.0679334999273331,0.0736170509465521,0.0503389314513231,0.2648272787963343,0.4458992549755776,0.1612393447903357,0.0914851697234901,0.7971178646537377,0.2547702492803699,0.7165938773918423,Healthy,0
6,0.0789449590668858,0.1246044179232723,0.1058288705143422,0.197576393340252,0.3311399608847292,0.5156227954497208,0.2526185666041317,0.4531828642662586,0.3607021111373922,0.0752063457413269,0.1481847518321317,0.094483077701976,0.2192406490005516,0.4152446595210166,0.2014806255604656,0.1731240032599506,0.6292802184290702,0.3089181229068635,0.4739900017776957,High_severity,2
7,0.0518331467234065,0.1184957948950582,0.1090446284581072,0.2261322876544338,0.4061475662438816,0.5766836936604455,0.2847082308246345,0.5482805895501371,0.4389852571802761,0.0634685148622979,0.0559647848779895,0.14989065800092,0.2863966281240488,0.3681615063780202,0.1638865493285312,0.1877036820880125,0.4213298647999497,0.1249161441041,0.7360937719175336,Others,3
8,0.0927649668454368,0.1320502349471032,0.1067651821405802,0.2261060746999187,0.3935298498849722,0.5731911160168096,0.2701970117326796,0.4975067025635352,0.4300201319060433,0.0641597236440108,0.1038535560918303,0.0569386033853131,0.2289995612773755,0.4006115313269185,0.2687338465882702,0.1498239018681722,0.7511153464259223,0.2725682124495221,0.5882626620477184,Low_severity,1
9,0.0618073360890262,0.1019824587945874,0.0795657481720094,0.2901953004275104,0.3744881007877745,0.6495316652230092,0.1268164666157542,0.571925455860368,0.4636882178149416,0.0762096903591356,0.1122807237113064,0.0702201546829697,0.3165539334611267,0.397909244926138,0.1840100997076705,0.1499005397132676,0.6999968182233196,0.113869145291227,0.5598473877831326,Healthy,0
10,0.0691532483380389,0.110965467457811,0.0842280841941007,0.2595404680520698,0.4210805776089288,0.6666271902264241,0.2373422194137063,0.5828726912390017,0.5026105506899945,0.0544227462936063,0.0933567139623338,0.087315425272471,0.2317351552079588,0.3620979462900768,0.1252058331092351,0.1466334444925802,0.6114248894335856,0.2195276597974377,0.5900504611783046,Others,3
11,0.0925685865122743,0.1388382385009053,0.1912533975793581,0.1656378529099147,0.2806089847205514,0.1893678972789996,0.2576402163903815,0.3379942418758009,0.1379139507330249,0.1079339843796876,0.119521504143613,0.1092855620716831,0.1857211842367022,0.2428588886263551,0.2462132572711757,0.2262773995315011,0.3793140181249381,0.1333186212040938,0.3403533605667077,High_severity,2
12,0.0906906895160982,0.1144461880330088,0.1336803808459862,0.2388444875218318,0.3360745122131137,0.4308505017353043,0.1691195189863402,0.4919381596872856,0.3130597218159016,0.0936855329951006,0.1680581750457819,0.1314594957041964,0.2263800154467666,0.4133198889404557,0.2529189207689978,0.1608128309035426,0.5173844700825283,0.2922305790756081,0.4218626898528452,Others,3
13,0.0683851272031101,0.1432381762095008,0.1498238448013426,0.2369333479855891,0.2966276505556801,0.3288236399274236,0.1118790592515053,0.3487187797111256,0.2326645472184918,0.1084224659788463,0.1552980877474103,0.103294852826298,0.2140568636198698,0.2880190679694328,0.2316433125502604,0.1833181194085191,0.4720614456227393,0.1473127861665034,0.2993815567715009,High_severity,2
14,0.0404125196384141,0.1190412527570281,0.140841327379526,0.2169978215404896,0.3506041109038367,0.4268282238146719,0.2353873053038839,0.4930589676043779,0.3173590428044698,0.0558878825079707,0.1065391289396221,0.0978418801233902,0.204319964029888,0.3983351683373913,0.1835774861125881,0.15220256630405,0.6056170658158776,0.3219340446755934,0.5779578025095367,Others,3
15,0.0580265359715908,0.1238482554410733,0.1278618933699124,0.2592127280561975,0.3757708971634468,0.492241586436405,0.1835609053177257,0.5042293523158549,0.3705174932483849,0.0392610386884065,0.1072888631887858,0.1184871470620605,0.3147601769093364,0.3796312207904304,0.1676394713876489,0.1195814023464815,0.5242610804621106,0.0934214394014457,0.5593163366275713,Low_severity,1
16,0.0804393681986253,0.1309127249231166,0.1334664159596855,0.2262474721937419,0.355497960853775,0.4540853187323179,0.2221770577259966,0.4617193710947211,0.3367637148005725,0.08199680465443,0.0933193484614368,0.1580332650152763,0.2353810144774998,0.2989150352705985,0.1873160672617174,0.1205547355738391,0.3083100870868413,0.1189116423807601,0.5241653851275297,High_severity,2
17,0.0863610972872196,0.1388924522036905,0.1589351755441821,0.1631671028133502,0.2876430307253107,0.2882089931264095,0.2761160822514774,0.3487413930961995,0.2039575615548534,0.1515336326520875,0.1493505808258998,0.1588957098000776,0.2284074489025913,0.3293712919015824,0.2905038043799458,0.2093906283645295,0.3491441803508738,0.181010561380355,0.3760444661741232,High_severity,2
18,0.0725437021903173,0.1201634945482448,0.1676052345886418,0.2186661972051534,0.3391505295387125,0.3385167117841785,0.2159926846167919,0.4767697555627193,0.2555912283731961,0.1075815593189001,0.1162992572549605,0.0984414759609859,0.2166936895842532,0.4320522822769403,0.2094845089835727,0.1204705605189741,0.6288684855106816,0.3319613562683755,0.5758222641109421,Low_severity,1
